Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,63,Female,Shorts,Clothing,31,New York,XL,Blue,Summer,3.62,Yes,Free Shipping,No,No,36,Bank Transfer,Annually
2,39,Male,Sandals,Footwear,85,Arizona,XL,Red,Fall,3.53,Yes,Express,Yes,Yes,12,Debit Card,Quarterly
3,40,Female,Hoodie,Clothing,72,Florida,L,White,Summer,3.61,No,Store Pickup,No,No,50,Venmo,Monthly
4,47,Male,Pants,Clothing,55,New York,XL,Pink,Winter,4.31,No,2-Day Shipping,No,No,40,PayPal,Monthly
5,22,Male,Dress,Clothing,36,New York,L,Black,Summer,4.72,Yes,Express,No,No,12,Venmo,Monthly
6,26,Male,Coat,Clothing,47,Florida,XL,Blue,Summer,4.47,No,Store Pickup,Yes,Yes,36,Debit Card,Monthly
7,38,Female,Hoodie,Clothing,41,Michigan,XL,Brown,Spring,3.44,No,Standard,No,No,40,Bank Transfer,Monthly
8,28,Male,Sneakers,Footwear,26,Ohio,S,White,Spring,4.12,No,Next Day Air,No,No,29,Cash,Annually
9,22,Female,Shorts,Clothing,34,Florida,M,Green,Fall,3.51,Yes,Standard,No,No,2,PayPal,Bi-Weekly
10,52,Female,T-shirt,Clothing,30,Idaho,XL,Red,Winter,2.7,No,Free Shipping,Yes,Yes,29,Cash,Every 3 Months
11,44,Female,Jeans,Clothing,43,Oregon,M,Blue,Fall,3.75,No,Free Shipping,Yes,Yes,30,Debit Card,Bi-Weekly
12,66,Male,Shorts,Clothing,86,Idaho,M,Green,Winter,4.56,No,Next Day Air,No,No,36,Cash,Quarterly
13,19,Female,Dress,Clothing,49,California,M,Gray,Winter,3.6,No,Store Pickup,No,No,44,Debit Card,Every 3 Months
14,41,Female,Dress,Clothing,89,Montana,XL,Black,Spring,4.3,Yes,Express,No,No,25,Bank Transfer,Every 3 Months
15,48,Male,Coat,Clothing,85,Illinois,M,White,Summer,3.4,No,Free Shipping,No,No,21,Cash,Fortnightly
16,50,Female,Sneakers,Footwear,80,California,XL,Black,Summer,4.21,No,Free Shipping,Yes,Yes,22,Venmo,Quarterly
17,56,Female,Sandals,Footwear,97,Virginia,S,Blue,Spring,3.65,No,Next Day Air,No,No,10,Venmo,Annually
18,47,Male,Coat,Clothing,60,Virginia,XL,Beige,Fall,4.71,No,Express,No,No,31,Debit Card,Monthly
19,63,Female,Coat,Clothing,70,California,L,Beige,Summer,3.61,Yes,Standard,Yes,Yes,47,Venmo,Fortnightly
20,54,Male,Jeans,Clothing,63,Oregon,S,Red,Fall,3.47,No,2-Day Shipping,No,No,9,Bank Transfer,Every 3 Months
21,68,Female,Shirt,Clothing,32,Georgia,M,Gray,Summer,4.68,No,Next Day Air,No,No,41,Cash,Annually
22,45,Female,Sneakers,Footwear,31,Georgia,M,Brown,Fall,3.45,No,Express,Yes,Yes,39,Cash,Annually
23,48,Male,Sweater,Clothing,28,Alabama,L,Pink,Winter,3.93,Yes,2-Day Shipping,No,No,34,PayPal,Quarterly
24,28,Female,Coat,Clothing,67,Illinois,S,White,Winter,3.46,No,Next Day Air,Yes,Yes,39,Debit Card,Fortnightly
25,40,Female,Skirt,Clothing,68,Montana,L,White,Summer,4.35,No,Standard,No,No,41,Venmo,Every 3 Months
26,19,Female,Boots,Footwear,72,Colorado,M,Blue,Fall,4.58,Yes,Standard,No,No,50,Bank Transfer,Bi-Weekly
27,57,Male,Shirt,Clothing,75,Colorado,XL,Beige,Fall,3.4,No,Express,No,No,23,Debit Card,Monthly
28,58,Male,Sweater,Clothing,59,New York,M,Yellow,Winter,4.13,Yes,Express,No,No,12,Venmo,Annually
29,44,Male,Skirt,Clothing,43,Virginia,L,Brown,Fall,4.18,No,Standard,Yes,Yes,7,PayPal,Fortnightly
30,52,Male,Sneakers,Footwear,91,Illinois,XL,Blue,Spring,3.88,No,Standard,No,No,32,Cash,Weekly
31,19,Male,Blouse,Clothing,52,Alabama,XL,Brown,Fall,4.72,No,Next Day Air,No,No,19,Cash,Monthly
32,56,Female,Skirt,Clothing,42,Texas,M,Yellow,Winter,4.71,No,Store Pickup,Yes,Yes,22,Bank Transfer,Bi-Weekly
33,54,Male,T-shirt,Clothing,96,California,XL,Beige,Spring,3.29,No,Store Pickup,No,No,16,Credit Card,Bi-Weekly
34,38,Male,Shirt,Clothing,73,Florida,S,Green,Spring,4.53,No,Express,No,No,8,Debit Card,Quarterly
35,22,Male,Hoodie,Clothing,72,Georgia,M,Yellow,Fall,4.1,No,2-Day Shipping,Yes,Yes,30,Venmo,Annually
36,69,Female,Skirt,Clothing,68,California,M,Blue,Winter,3.95,No,Standard,No,No,6,Credit Card,Every 3 Months
37,62,Female,Jacket,Clothing,97,Georgia,S,Pink,Winter,3.66,No,2-Day Shipping,No,No,2,Debit Card,Weekly
38,38,Male,Blouse,Clothing,97,Ohio,M,Brown,Winter,2.91,No,Express,Yes,Yes,34,Venmo,Fortnightly
39,46,Female,Dress,Clothing,99,Alabama,L,Gray,Spring,3.97,No,Express,No,No,29,PayPal,Annually
